id,status,summary,artifacts,verification
TASK-027,completed,Shared backend plans now report selected_stage_count selected_stage_ids blocked_execution_reasons handoff_requirements and future_worker_contract,"src/plugins/backend-plan.ts","backend-plan-plugins.test.ts"
TASK-028,completed,JavaScript profile now emits bytecode_metrics dispatcher_model risk_tags and confidence_breakdown while routing suspected JSVMP to jsvmp.bytecode.plan,"src/plugins/javascript-deobfuscation/tools/javascript-obfuscation-profile.ts","javascript-obfuscation-profile.test.ts"
TASK-029,completed,Added JSIMPLIFIER plan-only plugin for staged JavaScript deobfuscation with static/dynamic/LLM gates,"src/plugins/jsimplifier/index.ts","backend-plan-plugins.test.ts;plugin-format-matrix.test.ts"
TASK-030,completed,Added JSIR/CASCADE plan-only plugin for JavaScript IR normalization and JSVMP preprocessing,"src/plugins/jsir-cascade/index.ts","backend-plan-plugins.test.ts;plugin-format-matrix.test.ts"
TASK-031,completed,Added REstringer plan-only plugin for string-array and expression deobfuscation planning,"src/plugins/restringer/index.ts","backend-plan-plugins.test.ts;plugin-format-matrix.test.ts"
TASK-032,completed,Added Remill plan-only plugin for LLVM bitcode lifting and instruction semantics planning,"src/plugins/remill/index.ts","backend-plan-plugins.test.ts;plugin-format-matrix.test.ts"
TASK-033,completed,Added GTIRB plan-only plugin for binary IR and rewrite-boundary planning,"src/plugins/gtirb/index.ts","backend-plan-plugins.test.ts;plugin-format-matrix.test.ts"
TASK-034,completed,Added Manifold plan-only plugin for declarative fact extraction and superset decompilation planning,"src/plugins/manifold/index.ts","backend-plan-plugins.test.ts;plugin-format-matrix.test.ts"
TASK-035,completed,Release guard now covers expanded native backend plan recipes and metadata,"tests/unit/backend-plan-plugins.test.ts;tests/unit/plugin-format-matrix.test.ts","targeted jest"
TASK-036,completed,Added QBDI plan-only plugin for opt-in isolated DBI handoff planning,"src/plugins/qbdi/index.ts","backend-plan-plugins.test.ts;plugin-format-matrix.test.ts"
TASK-037,completed,Added CuLifter plan-only plugin for GPU/SASS lifting planning without GPU access,"src/plugins/culifter/index.ts","backend-plan-plugins.test.ts;plugin-format-matrix.test.ts"
TASK-038,completed,Updated plugin docs changelog README and Maestro task artifacts for 92 built-in plugins,"docs/PLUGINS.md;README.md;CHANGELOG.md;.workflow/scratch/20260523-frontier-plugin-suite","npm test targeted;npm run typecheck"
