id,status,findings,files_modified,tests_passed,error
TASK-001,completed,"WorkflowRecipeSpec metadata now flows through SDK, discovery, help, readiness, sample profile, plugin list, and aspect matrix; docs define shared workflow vocabulary.","packages/plugin-sdk/src/index.ts;src/types.ts;src/tools/plugin-list.ts;src/tools/sample-profile-get.ts;src/tools/tool-aspect-matrix.ts;src/tools/tool-help.ts;src/tools/tool-readiness.ts;src/tools/tools-discover.ts;docs/PLUGINS.md;tests/unit/packages/plugin-sdk.test.ts;tests/unit/plugin-list.test.ts;tests/unit/sample-profile-get.test.ts;tests/unit/tool-help.test.ts;tests/unit/tool-readiness.test.ts;tests/unit/tools-discover.test.ts;tests/unit/plugin-format-matrix.test.ts","unit wave-1 tests; npm run typecheck; npm run lint",
TASK-002,completed,"Plugin quality audit now reports missing-workflow-recipe with plugin_id and suggested_task_owner; docs define advanced safety categories and matrix tests cover workflow recipe indexing.","packages/plugin-sdk/src/index.ts;src/tools/tool-aspect-matrix.ts;docs/PLUGINS.md;tests/unit/packages/plugin-sdk.test.ts;tests/unit/plugin-format-matrix.test.ts","unit wave-1 tests; npm run typecheck; npm run lint",
TASK-003,completed,"memory-forensics.correlate now builds an offline fixture-only correlation bundle with IOC candidates, behavior timeline, correlation graph, provenance graph, artifact/evidence declarations, and workflow recipe metadata.","src/plugins/memory-forensics/index.ts;src/plugins/memory-forensics/memory-correlation.ts;tests/unit/memory-forensics-correlation.test.ts","tests/unit/memory-forensics-correlation.test.ts; tests/unit/tool-readiness.test.ts; tests/unit/tool-help.test.ts; tests/unit/plugin-format-matrix.test.ts; npm run typecheck; npm run lint",
TASK-004,completed,"vm.workflow.plan now exposes the VM detection to symbolic solving workflow without running emulators or solvers; vm-analysis also declares plugin aspects and optional Python/Z3 readiness metadata.","src/plugins/vm-analysis/index.ts;src/plugins/vm-analysis/tools/vm-workflow-plan.ts;tests/unit/vm-workflow-plan.test.ts","tests/unit/vm-workflow-plan.test.ts; tests/unit/tool-readiness.test.ts; tests/unit/tool-help.test.ts; tests/unit/plugin-format-matrix.test.ts; npm run typecheck; npm run lint",
TASK-005,completed,"kb.context.suggest now promotes kb-collaboration into a local analysis-memory recommender with provenance, stale-data caveats, workflow metadata, and plugin-level knowledge-reuse aspects.","src/plugins/kb-collaboration/index.ts;src/plugins/kb-collaboration/tools/kb-context-suggest.ts;tests/unit/kb-context-suggest.test.ts","tests/unit/kb-context-suggest.test.ts; tests/unit/tool-readiness.test.ts; tests/unit/tool-help.test.ts; tests/unit/plugin-format-matrix.test.ts; npm run typecheck; npm run lint",
TASK-006,completed,"runtime plan tools now emit consistent opt-in session_templates and runtime workflow recipes across Windows, Linux, macOS, iOS, Android, and WASM while remaining plan-only by default.","src/plugins/runtime-plan.ts;tests/unit/runtime-session-templates.test.ts;tests/unit/android-runtime-readiness.test.ts;tests/unit/ios-runtime-readiness.test.ts;tests/unit/macos-runtime-readiness.test.ts","tests/unit/runtime-session-templates.test.ts; tests/unit/android-runtime-readiness.test.ts; tests/unit/ios-runtime-readiness.test.ts; tests/unit/macos-runtime-readiness.test.ts; tests/unit/tool-readiness.test.ts; npm run typecheck; npm run lint",
TASK-007,completed,"sbom.provenance.graph now merges supply-chain inventory hints into deterministic provenance components with evidence sources, CycloneDX/SPDX-lite exports, risk summary, and local-only vuln/report handoffs.","src/plugins/sbom/index.ts;src/plugins/sbom/tools/sbom-provenance-graph.ts;tests/unit/sbom-provenance-graph.test.ts","tests/unit/sbom-provenance-graph.test.ts; tests/unit/tool-readiness.test.ts; tests/unit/tool-help.test.ts; tests/unit/plugin-format-matrix.test.ts; npm run typecheck; npm run lint",
TASK-008,completed,"android.behavior.graph now builds a passive Android static behavior graph from manifest, DEX, smali, URL, crypto, storage, reflection, and native library hints with runtime plan recommendations.","src/plugins/android/index.ts;src/plugins/android/tools/android-behavior-graph.ts;tests/unit/android-behavior-graph.test.ts","tests/unit/android-behavior-graph.test.ts; tests/unit/tool-readiness.test.ts; tests/unit/tool-help.test.ts; tests/unit/plugin-format-matrix.test.ts; npm run typecheck; npm run lint",
TASK-009,completed,"apple.security.profile now correlates entitlements, provisioning, signing, Mach-O/framework hints, risk mapping, and macOS/iOS runtime handoffs without mount, install, device attach, or network verification.","src/plugins/apple-signing/index.ts;src/plugins/apple-signing/tools/apple-security-profile.ts;tests/unit/apple-security-profile.test.ts","tests/unit/apple-security-profile.test.ts; tests/unit/tool-readiness.test.ts; tests/unit/tool-help.test.ts; tests/unit/plugin-format-matrix.test.ts; npm run typecheck; npm run lint",
TASK-010,completed,"wasm.structure.analyze now reports imports, exports, memory/table declarations, start function, WASI capability classification, capability risk summary, and wasm.runtime.plan handoff while remaining passive.","src/plugins/wasm/tools/wasm-structure-analyze.ts;tests/unit/wasm-structure-analyze.test.ts","tests/unit/wasm-structure-analyze.test.ts; tests/unit/tool-readiness.test.ts; tests/unit/tool-help.test.ts; tests/unit/plugin-format-matrix.test.ts; npm run typecheck; npm run lint",
TASK-011,completed,"firmware.workflow.plan now builds passive firmware filesystem, init, package, kernel, architecture, SBOM, and Qiling readiness handoffs without extraction, mount, module load, or emulation.","src/plugins/firmware/index.ts;src/plugins/firmware/tools/firmware-workflow-plan.ts;tests/unit/firmware-workflow-plan.test.ts","tests/unit/firmware-workflow-plan.test.ts; tests/unit/tool-readiness.test.ts; tests/unit/tool-help.test.ts; tests/unit/plugin-format-matrix.test.ts; npm run typecheck; npm run lint",
