"plugin_id","plugin_path","primary_theme","confidence","best_deliverable","files_to_touch","tests_to_update","verification_commands"
"android","src/plugins/android","metadata-search-profile","0.87","完成一个低风险的 Android 静态 metadata/search-profile 增强迭代：统一 android 插件与 android-package/android-runtime 的 formats 和 surfaceRules vocabulary；为 structure/classes/packer/decompile/behavior graph 补 workflowRecipes 或 recommended_next_tools；把 behavior graph 的 hook candidates 映射到现有 Android Frida script URI；同步 `docs/plugins.html` 的工具数与工具列表。","src/plugins/android/index.ts; src/plugins/android/tools/apk-structure-analyze.ts; src/plugins/android/tools/dex-classes-list.ts; src/plugins/android/tools/apk-packer-detect.ts; src/plugins/android/tools/dex-decompile.ts; src/plugins/android/tools/android-behavior-graph.ts; docs/plugins.html","tests/unit/android-behavior-graph.test.ts：断言 script URI handoff、static-only safety notes 和 recipe metadata。; tests/unit/plugin-format-matrix.test.ts：断言 android 插件 formats/surface/workflow metadata 覆盖 `android-package`、`multi-dex`、`odex`、`art` 等标签。; tests/unit/workflow-search.test.ts 或 tests/unit/tools-discover.test.ts：增加 `file_type=APK`/`finding=packed` 对 android 插件和 `apk.packer.detect`/`android.behavior.graph` 的推荐命中断言。","npm test -- tests/unit/android-behavior-graph.test.ts tests/unit/plugin-format-matrix.test.ts tests/unit/workflow-search.test.ts tests/unit/tools-discover.test.ts; npm run typecheck; npm run lint -- --quiet"
"android-package","src/plugins/android-package","metadata-search-profile","0.88","为 `android.package.inventory` 增加静态 inventory workflow contract 和 profile-friendly handoff metadata：tool-level `workflowRecipes`、builtin `workerBackend` safety policy、补齐 `android-bytecode`/`workflow-plan` 等关键 aspects，并在输出中增加顶层 `workflowRecipes`、`formats`、`platforms`、`evidence` 以及 route candidate 的 `format`/`architecture` 字段。","src/plugins/android-package/tools/android-package-inventory.ts; src/plugins/android-package/index.ts","tests/unit/plugin-format-matrix.test.ts; tests/unit/tool-help.test.ts; tests/unit/plugin-list.test.ts; tests/unit/tools-discover.test.ts; tests/unit/sample-profile-get.test.ts","npm test -- --runTestsByPath tests/unit/plugin-format-matrix.test.ts tests/unit/tool-help.test.ts tests/unit/plugin-list.test.ts tests/unit/tools-discover.test.ts tests/unit/sample-profile-get.test.ts; npm run typecheck"
"android-runtime","src/plugins/android-runtime","metadata-search-profile","0.87","先做一个小而高收益的 “Android runtime discoverability/profile 深化” 迭代：补齐 `android-runtime` 的 Android fileTypes、finding triggers、capability/evidence tags、推荐静态前置工具（特别是 `android.behavior.graph`），并清理不存在的 `resources.scripts` 声明或补充说明。输出仍保持 plan_only，不接入任何真实 ADB/emulator/Frida 执行。","src/plugins/android-runtime/index.ts; tests/unit/android-runtime-readiness.test.ts; tests/unit/plugin-format-matrix.test.ts; tests/unit/runtime-session-templates.test.ts; tests/unit/workflow-search.test.ts","更新 `tests/unit/android-runtime-readiness.test.ts`：断言新增 Android aliases、finding triggers、workflow/provenance/native/logcat 或 root/SSL pinning 能力词，并确认 safety_notes 仍禁止 install/launch/attach。; 更新 `tests/unit/plugin-format-matrix.test.ts`：确认 `android-runtime` 对 `android-bytecode`、`multi-dex`、`odex`、`aar`、`art` 等 profile tags 可被矩阵匹配。; 更新 `tests/unit/workflow-search.test.ts`：新增 file_type=`apk`/`android-bytecode`、query=`ssl pinning frida android`、finding=`classloader-reflection` 时 `android.runtime.plan` 排名和 activation_required 符合预期。; 若调整 recipe/nextTools，更新 `tests/unit/runtime-session-templates.test.ts` 对 workflow metadata 的断言。","npm test -- tests/unit/android-runtime-readiness.test.ts tests/unit/runtime-session-templates.test.ts tests/unit/plugin-format-matrix.test.ts tests/unit/workflow-search.test.ts --runInBand; npm run typecheck"
"angr","src/plugins/angr","metadata-search-profile","0.88","先做“angr CFGFast metadata + read-only mocked tests”小迭代：让 `angr.analyze` 准确声明 `backend_angr_cfg_fast` artifact、functions/cfg/control-flow/provenance evidence、`angr.cfgfast-corroboration` workflowRecipe、workerBackend policy，并补 `surfaceRules.activateOn`。不改变 Python 执行逻辑。","src/plugins/angr/tools/angr-analyze.ts; src/plugins/angr/index.ts; tests/unit/plugin-format-matrix.test.ts; tests/unit/angr-analyze.test.ts","新增 `tests/unit/angr-analyze.test.ts`：mock backend unavailable 返回 `setup_required`；mock `runPythonJson` 成功返回函数列表并验证 data/artifact/metrics；mock backend JSON 异常返回 normalizeError。; 更新 `tests/unit/plugin-format-matrix.test.ts`：断言 angr 的 tool metadata 包含 formats、artifact `backend_angr_cfg_fast`、evidence `functions/cfg/control-flow/provenance`、workflow recipe。","npm test -- --runTestsByPath tests/unit/angr-analyze.test.ts tests/unit/plugin-format-matrix.test.ts; npm test -- --runTestsByPath tests/unit/workflow-search.test.ts tests/unit/tool-readiness.test.ts; npm run build; node scripts/generate-docker.mjs --dry-run --include=angr"
"api-hash","src/plugins/api-hash","metadata-search-profile","0.88","先做一个小的“解析工具证据化”迭代：为 `hash.resolve` 和 `hash.identify` 增加 tool-level aspects/evidence/workflowRecipes，补 deterministic 单测验证 ROR13/auto/无匹配/Unicode 或并列候选，并修正 systemDeps 为 Python executable。","src/plugins/api-hash/index.ts; src/plugins/api-hash/tools/hash-resolve.ts; src/plugins/api-hash/tools/hash-identify.ts; tests/unit/hash-tools.test.ts; tests/unit/plugin-format-matrix.test.ts; docs/PLUGINS.md; docs/tool-catalog.html","新增 `tests/unit/hash-tools.test.ts`：直接调用 `createHashResolveHandler` 和 `createHashIdentifyHandler`，mock/使用临时 WorkspaceManager 与 DatabaseManager，覆盖解析成功、auto、多算法/无匹配、Python missing setup_required 分支。; 更新 `tests/unit/plugin-format-matrix.test.ts`：断言 `hash.resolve`/`hash.identify` 的 aspects、evidence、workflowRecipes 和 artifact metadata。","npm test -- --runTestsByPath tests/unit/hash-tools.test.ts tests/unit/hash-resolver-plan.test.ts tests/unit/plugin-format-matrix.test.ts --runInBand; npm run typecheck; npm run lint; npm run docs:tool-catalog; git diff --check src/plugins/api-hash/index.ts src/plugins/api-hash/tools/hash-resolve.ts src/plugins/api-hash/tools/hash-identify.ts tests/unit/hash-tools.test.ts tests/unit/plugin-format-matrix.test.ts docs/PLUGINS.md docs/tool-catalog.html"
"apk-smali","src/plugins/apk-smali","functional-worker-depth","0.88","让 `apk.disassemble` 正确覆盖 apktool 输出的所有 `smali*` 目录，并在结果中保留 multi-dex 分组/计数；这是最小但高价值的能力补强，能直接减少二级 DEX 漏报。","src/plugins/apk-smali/tools/apk-disassemble.ts","tests/unit/apk-smali-disassemble.test.ts; tests/unit/plugin-format-matrix.test.ts","npm test -- apk-smali-disassemble; npm test -- plugin-format-matrix; npm run typecheck"
"apple-container","src/plugins/apple-container","metadata-search-profile","0.9","给 `apple.container.inventory` 添加一个静态 workflow recipe（例如 `apple.container.static-inventory`），并同步调整 metadata：recipe 产出 `apple_container_inventory`，后续工具指向 `apple.signing.inspect`、`macho.structure.analyze`、`apple.security.profile`、`macos.runtime.plan`、`ios.runtime.plan`，safety 明确 `passive`、`no_auto_mount`、`no_installer_execution`、`no_live_sample_by_default`；同时考虑把工具 evidence 中不准确的 `certificates` 改为 `manifest`/`package-metadata`/`nested-binaries`/`provenance`。","src/plugins/apple-container/tools/apple-container-inventory.ts; tests/unit/apple-container-inventory.test.ts; tests/unit/plugin-format-matrix.test.ts","在 `tests/unit/apple-container-inventory.test.ts` 增加插件注册测试，断言 `apple.container.inventory` 的 `workflowRecipes[0]` 包含 id、startsWith、nextTools、producesArtifacts、evidence 和 safety。; 按现有矩阵风格在 `tests/unit/plugin-format-matrix.test.ts` 增加或扩展 Apple workflow recipe 覆盖，确认 `workflow.search`/discovery 可看到该 recipe。","npm test -- --runTestsByPath tests/unit/apple-container-inventory.test.ts tests/unit/plugin-format-matrix.test.ts; npm run typecheck"
"apple-signing","src/plugins/apple-signing","metadata-search-profile","0.88","把 `.xcent` 和 `.provisionprofile` 作为 Apple signing metadata 一等输入端到端支持：inspect 能识别并归类，security profile 能计入 entitlement/provisioning summary，surface/profile tags 能让 `workflow.search` 命中，相关单测覆盖。","src/plugins/apple-signing/index.ts; src/plugins/apple-signing/tools/apple-signing-inspect.ts; src/plugins/apple-signing/tools/apple-security-profile.ts; packages/plugin-sdk/src/index.ts; src/sample/sample-finalization.ts; tests/unit/plugin-format-matrix.test.ts; tests/unit/apple-security-profile.test.ts; docs/PLUGINS.md（若提交生成文档）; docs/tool-catalog.html（若提交生成文档）","在 `tests/unit/plugin-format-matrix.test.ts` 中扩展现有 Apple signing inventory 用例：断言 `Payload/Demo.app/archived-expanded-entitlements.xcent` 被归入 entitlement/bundle metadata candidates，并覆盖单文件 `.xcent`/`.provisionprofile` detect/profile tags。; 在 `tests/unit/apple-security-profile.test.ts` 中增加 `.provisionprofile` 和 `.xcent` 输入片段，断言 provisioning/entitlement count、platform hint 和 runtime constraints 不回退。; 如修改 `src/sample/sample-finalization.ts`，补充 detectFileType 对 `Demo.xcent`、`embedded.provisionprofile` 的断言。","npm test -- --runTestsByPath tests/unit/plugin-format-matrix.test.ts tests/unit/apple-security-profile.test.ts; npx eslint ""src/plugins/apple-signing/**/*.ts"" ""packages/plugin-sdk/src/index.ts"" ""src/sample/sample-finalization.ts"" --quiet --no-error-on-unmatched-pattern; npm run docs:tool-catalog"
"batch","src/plugins/batch","metadata-search-profile","0.87","做一个小而高收益的 metadata/discovery 迭代：让 `batch.submit`、`batch.status`、`batch.results` 作为 declarative tools 暴露给 `plugin.list/tools.discover/workflow.search`，补齐 tool-level aspects、`batch_job`/`batch_result_bundle` artifact/evidence、`batch.corpus-pipeline-orchestration` workflow recipe，以及说明动态 pipeline 需要 opt-in 的 runtimePolicy；行为层尽量不改。","src/plugins/batch/index.ts; src/plugins/batch/tools/batch-analysis.ts","新增 `tests/unit/batch-analysis.test.ts`：断言 3 个 tool definition 均有 outputSchema、artifacts/evidence/workflowRecipes/runtimePolicy，并用 `createPluginTestHarness` 注册 batch 插件确认工具名不变。; 更新 `tests/unit/plugin-format-matrix.test.ts`：加入 batch workflow recipe/metadata 期望，确保 plugin matrix 的 `by_workflow` 和 tool metadata 能索引 batch。","npm test -- --runTestsByPath tests/unit/batch-analysis.test.ts tests/unit/plugin-format-matrix.test.ts; npm run typecheck; npm run lint"
"behavior-first","src/plugins/behavior-first","metadata-search-profile","0.88","第一轮建议做“元数据与搜索/安全解释深化”：不改变 worker 行为，先让 `behavior-first` 以声明式 `tools` 暴露 3 个工具的 aspects、artifacts、evidence、workflowRecipes、workerBackend/runtimePolicy，并收窄 `behavior.capture` 的实际支持范围到 Windows PE/.NET + Frida/Runtime Node；`behavior.ioc`、`behavior.network` 明确为对已有行为数据的 passive post-processing。","src/plugins/behavior-first/index.ts; src/plugins/behavior-first/tools/behavior-capture.ts; src/plugins/behavior-first/tools/behavior-ioc.ts; src/plugins/behavior-first/tools/behavior-network.ts","tests/unit/behavior-first-metadata.test.ts; tests/unit/plugin-list.test.ts; tests/unit/workflow-search.test.ts; tests/unit/tool-readiness.test.ts","npm test -- --runInBand tests/unit/behavior-first-metadata.test.ts tests/unit/plugin-list.test.ts tests/unit/workflow-search.test.ts tests/unit/tool-readiness.test.ts; npm run typecheck"
