id,status,files,verification
TASK-081,completed,"src/plugins/api-hash/tools/hash-resolver-plan.ts; src/artifacts/evidence-correlation.ts; tests/unit/hash-resolver-plan.test.ts; tests/unit/evidence-graph.test.ts; tests/unit/plugin-format-matrix.test.ts; docs/PLUGINS.md; docs/tool-catalog.html","npm test -- --runTestsByPath tests/unit/hash-resolver-plan.test.ts tests/unit/evidence-graph.test.ts tests/unit/malware-intel-loop.test.ts tests/unit/unpack-workflow-plan.test.ts tests/unit/static-analysis-tools.test.ts tests/unit/cross-decompiler-consensus.test.ts tests/unit/behavior-first-correlation.test.ts tests/unit/plugin-format-matrix.test.ts --runInBand; npm run typecheck; npm run lint; npm run docs:tool-catalog; git diff --check scoped files"
TASK-082,completed,"src/plugins/static-triage/tools/static-behavior-classify.ts; src/artifacts/evidence-correlation.ts; tests/unit/static-behavior-classify.test.ts; tests/unit/evidence-graph.test.ts; tests/unit/plugin-format-matrix.test.ts; docs/PLUGINS.md; docs/tool-catalog.html; scripts/generate-tool-catalog-doc.mjs","npm test -- --runTestsByPath tests/unit/static-behavior-classify.test.ts tests/unit/evidence-graph.test.ts tests/unit/hash-resolver-plan.test.ts tests/unit/malware-intel-loop.test.ts tests/unit/unpack-workflow-plan.test.ts tests/unit/static-analysis-tools.test.ts tests/unit/cross-decompiler-consensus.test.ts tests/unit/behavior-first-correlation.test.ts tests/unit/plugin-format-matrix.test.ts --runInBand; npm run typecheck; npm run lint; npm run docs:tool-catalog; git diff --check scoped files"
TASK-083,completed,"src/plugins/static-triage/tools/crypto-identify.ts; src/artifacts/evidence-correlation.ts; tests/unit/crypto-identify.test.ts; tests/unit/evidence-graph.test.ts; tests/unit/plugin-format-matrix.test.ts; docs/PLUGINS.md; docs/tool-catalog.html","npm test -- --runTestsByPath tests/unit/crypto-identify.test.ts tests/unit/crypto-lifecycle-graph.test.ts tests/unit/evidence-graph.test.ts tests/unit/static-behavior-classify.test.ts tests/unit/hash-resolver-plan.test.ts tests/unit/malware-intel-loop.test.ts tests/unit/unpack-workflow-plan.test.ts tests/unit/static-analysis-tools.test.ts tests/unit/cross-decompiler-consensus.test.ts tests/unit/behavior-first-correlation.test.ts tests/unit/plugin-format-matrix.test.ts --runInBand; npm run typecheck; npm run lint; npm run docs:tool-catalog; git diff --check scoped files"
TASK-084,completed,"src/plugins/static-triage/tools/static-config-carver.ts; src/artifacts/evidence-correlation.ts; tests/unit/static-config-carver.test.ts; tests/unit/evidence-graph.test.ts; tests/unit/plugin-format-matrix.test.ts; docs/PLUGINS.md; docs/tool-catalog.html","npm test -- --runTestsByPath tests/unit/static-config-carver.test.ts tests/unit/evidence-graph.test.ts tests/unit/static-behavior-classify.test.ts tests/unit/crypto-identify.test.ts tests/unit/malware-intel-loop.test.ts tests/unit/dynamic-behavior-diff.test.ts tests/unit/behavior-first-correlation.test.ts tests/unit/static-resource-graph.test.ts tests/unit/plugin-format-matrix.test.ts --runInBand; npm run typecheck; npm run lint; npm run docs:tool-catalog; git diff --check scoped files"
TASK-085,completed,"src/plugins/static-triage/tools/static-resource-graph.ts; src/artifacts/evidence-correlation.ts; tests/unit/static-resource-graph.test.ts; tests/unit/evidence-graph.test.ts; tests/unit/plugin-format-matrix.test.ts; docs/PLUGINS.md; docs/tool-catalog.html","npm test -- --runTestsByPath tests/unit/static-resource-graph.test.ts tests/unit/evidence-graph.test.ts tests/unit/static-config-carver.test.ts tests/unit/unpack-workflow-plan.test.ts tests/unit/crypto-identify.test.ts tests/unit/plugin-format-matrix.test.ts --runInBand; npm run typecheck; npm run lint; npm run docs:tool-catalog; git diff --check scoped files"
TASK-086,completed,"src/plugins/static-triage/tools/compiler-packer-detect.ts; src/artifacts/evidence-correlation.ts; tests/unit/static-analysis-tools.test.ts; tests/unit/evidence-graph.test.ts; tests/unit/plugin-format-matrix.test.ts; docs/PLUGINS.md; docs/tool-catalog.html","npm test -- --runTestsByPath tests/unit/static-analysis-tools.test.ts tests/unit/evidence-graph.test.ts tests/unit/plugin-format-matrix.test.ts tests/unit/unpack-workflow-plan.test.ts tests/unit/static-resource-graph.test.ts tests/unit/static-config-carver.test.ts --runInBand; npm run typecheck; npm run lint; npm run docs:tool-catalog; git diff --check scoped files"
TASK-087,completed,"src/plugins/strings/tools/strings-floss-decode.ts; src/artifacts/evidence-correlation.ts; tests/unit/strings-floss-decode.test.ts; tests/unit/evidence-graph.test.ts; tests/unit/plugin-format-matrix.test.ts; docs/PLUGINS.md; docs/tool-catalog.html","npm test -- --runTestsByPath tests/unit/strings-floss-decode.test.ts tests/unit/evidence-graph.test.ts tests/unit/plugin-format-matrix.test.ts --runInBand; npm test -- --runTestsByPath tests/unit/strings-floss-decode.test.ts tests/unit/evidence-graph.test.ts tests/unit/plugin-format-matrix.test.ts tests/unit/analysis-context-link.test.ts tests/unit/static-config-carver.test.ts tests/unit/malware-intel-loop.test.ts --runInBand; npm run typecheck; npm run lint; npm run docs:tool-catalog; git diff --check scoped files"
TASK-088,completed,"src/plugins/strings/tools/strings-extract.ts; tests/unit/strings-extract.test.ts; tests/unit/plugin-format-matrix.test.ts; docs/PLUGINS.md; docs/tool-catalog.html","npm test -- --runTestsByPath tests/unit/strings-extract.test.ts tests/unit/plugin-format-matrix.test.ts tests/unit/evidence-graph.test.ts --runInBand; npm test -- --runTestsByPath tests/unit/strings-extract.test.ts tests/unit/strings-floss-decode.test.ts tests/unit/evidence-graph.test.ts tests/unit/plugin-format-matrix.test.ts tests/unit/analysis-context-link.test.ts tests/unit/static-config-carver.test.ts tests/unit/malware-intel-loop.test.ts --runInBand; npm run typecheck; npm run lint; npm run docs:tool-catalog; git diff --check scoped files"
TASK-089,completed,"src/plugins/yara/tools/yara-generate.ts; src/plugins/yara/index.ts; src/artifacts/evidence-correlation.ts; tests/unit/yara-generate.test.ts; tests/unit/evidence-graph.test.ts; tests/unit/plugin-format-matrix.test.ts; docs/PLUGINS.md; docs/tool-catalog.html","npm test -- --runTestsByPath tests/unit/yara-generate.test.ts tests/unit/evidence-graph.test.ts tests/unit/plugin-format-matrix.test.ts --runInBand; npm run typecheck; npm run lint; npm run docs:tool-catalog; git diff --check scoped files"
TASK-090,completed,"src/plugins/yara/tools/yara-generate-batch.ts; src/artifacts/evidence-correlation.ts; tests/unit/yara-generate.test.ts; tests/unit/evidence-graph.test.ts; tests/unit/plugin-format-matrix.test.ts; docs/PLUGINS.md; docs/tool-catalog.html","npm test -- --runTestsByPath tests/unit/yara-generate.test.ts tests/unit/evidence-graph.test.ts tests/unit/plugin-format-matrix.test.ts --runInBand; npm run typecheck; npm run lint; npm run docs:tool-catalog; git diff --check scoped files"
