id,status,findings,files_modified,tests_passed,error
TASK-017,completed,"Added javascript-deobfuscation plugin with passive JavaScript/JSVMP profile, JSIR/CASCADE and REstringer plan candidates, source-map/JS file routing, workflow recipe, and focused no-execute test.","packages/plugin-sdk/src/index.ts;src/sample/sample-finalization.ts;src/plugins/javascript-deobfuscation/index.ts;src/plugins/javascript-deobfuscation/tools/javascript-obfuscation-profile.ts;tests/unit/javascript-obfuscation-profile.test.ts;tests/unit/plugin-format-matrix.test.ts","focused plugin tests, release surface tests, SDK contract tests, typecheck, and lint passed",""
TASK-018,completed,"Added revng pipeline plan plugin for lift/decompile/cross-backend comparison metadata without starting rev.ng.","src/plugins/backend-plan.ts;src/plugins/revng/index.ts;tests/unit/backend-plan-plugins.test.ts;tests/unit/plugin-format-matrix.test.ts","focused plugin tests, release surface tests, SDK contract tests, typecheck, and lint passed",""
TASK-019,completed,"Added Triton symbolic plan plugin for bounded symbolic/taint/constraint workflow metadata without starting Triton, Unicorn, or solvers.","src/plugins/backend-plan.ts;src/plugins/triton/index.ts;tests/unit/backend-plan-plugins.test.ts;tests/unit/plugin-format-matrix.test.ts","focused plugin tests, release surface tests, SDK contract tests, typecheck, and lint passed",""
TASK-020,completed,"Added Miasm IR plan plugin for IR lifting/data-flow/deobfuscation planning without Python backend start.","src/plugins/backend-plan.ts;src/plugins/miasm/index.ts;tests/unit/backend-plan-plugins.test.ts;tests/unit/plugin-format-matrix.test.ts","focused plugin tests, release surface tests, SDK contract tests, typecheck, and lint passed",""
TASK-021,completed,"Updated docs, changelog, plugin matrix release guard, and Maestro artifacts for the advanced plugin expansion wave.","docs/PLUGINS.md;CHANGELOG.md;.workflow/scratch/20260523-advanced-plugin-expansion/plan.json;.workflow/scratch/20260523-advanced-plugin-expansion/tasks.csv;.workflow/scratch/20260523-advanced-plugin-expansion/results.csv","focused plugin tests, release surface tests, SDK contract tests, typecheck, and lint passed",""
TASK-022,completed,"Added jsvmp-analysis plugin for plan-only bytecode container, dispatcher, handler-map, stack/register semantics, and JSIR/CASCADE/JSIMPLIFIER/REstringer routing without executing JavaScript.","src/plugins/jsvmp-analysis/index.ts;src/plugins/javascript-deobfuscation/tools/javascript-obfuscation-profile.ts;tests/unit/backend-plan-plugins.test.ts;tests/unit/javascript-obfuscation-profile.test.ts;tests/unit/plugin-format-matrix.test.ts","focused plugin tests, release surface tests, SDK contract tests, typecheck, and lint passed",""
TASK-023,completed,"Added LIEF plan plugin for PE/ELF/Mach-O/object structure, signing, relocation, and mutation-boundary planning without invoking LIEF or modifying binaries.","src/plugins/lief/index.ts;tests/unit/backend-plan-plugins.test.ts;tests/unit/plugin-format-matrix.test.ts","focused plugin tests, release surface tests, SDK contract tests, typecheck, and lint passed",""
TASK-024,completed,"Added radare2 plan plugin for r2pipe command planning and cross-backend comparison without starting radare2.","src/plugins/radare2/index.ts;tests/unit/backend-plan-plugins.test.ts;tests/unit/plugin-format-matrix.test.ts","focused plugin tests, release surface tests, SDK contract tests, typecheck, and lint passed",""
TASK-025,completed,"Added WABT plan plugin for wasm2wat, wasm-objdump, wasm-decompile, wasm2c, and WASI capability review planning without running WABT or instantiating WASM.","src/plugins/wabt/index.ts;packages/plugin-sdk/src/index.ts;src/sample/sample-finalization.ts;tests/unit/plugin-format-matrix.test.ts","focused plugin tests, release surface tests, SDK contract tests, typecheck, and lint passed",""
TASK-026,completed,"Updated docs, changelog, plugin matrix release guards, WAT routing, and Maestro artifacts for the expanded advanced plugin suite.","docs/PLUGINS.md;CHANGELOG.md;.workflow/scratch/20260523-advanced-plugin-expansion/plan.json;.workflow/scratch/20260523-advanced-plugin-expansion/tasks.csv;.workflow/scratch/20260523-advanced-plugin-expansion/results.csv","focused plugin tests, release surface tests, SDK contract tests, typecheck, and lint passed",""
