id,title,wave,depends_on,scope,status
TASK-027,Strengthen shared backend plan output contract,1,,backend-plan selected stages blocked reasons handoff future worker contract,completed
TASK-028,Add richer JSVMP static bytecode and dispatcher profile,1,TASK-027,javascript-obfuscation-profile bytecode metrics dispatcher model risk tags,completed
TASK-029,Add JSIMPLIFIER JavaScript pipeline plan plugin,2,TASK-028,jsimplifier static ast pipeline dynamic llm gates,completed
TASK-030,Add JSIR/CASCADE JavaScript IR normalization plan plugin,2,TASK-028,jsir cascade ir normalization static passes,completed
TASK-031,Add REstringer JavaScript deobfuscation plan plugin,2,TASK-028,restringer string array expression simplification,completed
TASK-032,Add Remill LLVM lifting plan plugin,3,TASK-027,remill llvm bitcode instruction semantics,completed
TASK-033,Add GTIRB binary IR plan plugin,3,TASK-027,gtirb binary ir cfg symbol rewrite boundary,completed
TASK-034,Add Manifold declarative decompilation plan plugin,3,TASK-027,manifold pgsd fact extraction superset decompilation,completed
TASK-035,Expand native backend release guard metadata,3,TASK-032;TASK-033;TASK-034,plugin matrix workflow recipes backend plan tests,completed
TASK-036,Add QBDI DBI opt-in plan plugin,4,TASK-027,qbdi dbi runtime gated instrumentation plan,completed
TASK-037,Add CuLifter GPU binary lifting plan plugin,4,TASK-027,culifter gpu sass ptx llvm ir plan,completed
TASK-038,Finalize docs changelog maestro artifacts and verification,5,TASK-029;TASK-030;TASK-031;TASK-035;TASK-036;TASK-037,docs tests changelog maestro,completed
