id,skill,args,wave_n,status,findings,artifacts,error
0,subagent-read-core-workflow-runtime-tests,"core/plugin; workflow/persistence; runtime/security; tests/CI",0,completed,"Identified high-priority product iteration risks across runtime policy, Host Agent auth, staged analysis state, plugin surface drift, and CI gaps",".workflow/.maestro/maestro-20260607-134610-product-iteration/context.md",
1,security-iteration,"enforce runtime delegation policy gates",1,completed,"Delegated runtime execution now checks local PolicyGuard before contract validation, sample upload, or remote execution","src/runtime-client/delegation-server.ts; src/core/plugin-runtime-bridge.ts; src/core/tool-registry/workflow-tools.ts; src/analysis/analysis-task-runner.ts; tests/unit/runtime-client/delegation-server.test.ts",
2,workflow-state-iteration,"fix run compatibility and status inference",1,completed,"Analysis run reuse now separates live-execution and transformation policy; run summaries stay partial until all planned stages are terminal","src/analysis/analysis-run-state.ts; src/workflows/analyze-pipeline.ts; tests/unit/analysis-run-state.test.ts",
3,plugin-surface-iteration,"reduce surface drift and registration mismatch",1,completed,"ToolResult.structuredContent now drives surface expansion for hidden core tools, matching WorkerResult behavior","src/core/tool-executor.ts; tests/unit/core/tool-executor.test.ts",
4,verification,"run targeted tests and update context",2,completed,"Passed targeted unit tests, workflow integration, workspace typecheck, root tsc, and diff check; diff check only emitted LF-to-CRLF warnings",".workflow/.maestro/maestro-20260607-134610-product-iteration/status.json; .workflow/.maestro/maestro-20260607-134610-product-iteration/context.md",
5,auth-defaults-iteration,"harden Host Agent and Runtime Node authentication defaults",3,completed,"Runtime Node and Host Agent default to loopback; production or non-loopback exposure requires API keys; auto-sandbox now requires and propagates runtime.apiKey","packages/runtime-node/src/config.ts; packages/runtime-node/src/router.ts; packages/windows-host-agent/src/index.ts; src/runtime-client/sandbox-launcher.ts; tests/unit/runtime-node/router-auth-defaults.test.ts; tests/unit/runtime-client/sandbox-launcher.test.ts",
6,sidecar-containment-iteration,"enforce runtime sidecar source path containment",3,completed,"Explicit sidecar paths resolve relative to the sample directory and are rejected if lexical or realpath checks escape the allowed root","src/runtime-client/sidecar-staging.ts; tests/unit/runtime-client/sidecar-staging.test.ts",
7,runtime-artifact-containment-iteration,"enforce runtime artifact source path containment",3,completed,"Runtime Node artifact staging now accepts only sources under the current task inbox or outbox and rejects sibling or arbitrary host paths","packages/runtime-node/src/executor.ts; tests/unit/runtime-node/executor.test.ts",
8,hot-unload-surface-cleanup-iteration,"clean plugin surface state on hot unload",3,completed,"Plugin hot unload now unregisters ToolSurfaceManager state and removes owner mappings even when plugin status tools are stale","src/core/tool-surface-manager.ts; src/core/plugin-orchestrator.ts; tests/unit/core/tool-surface-manager.test.ts; tests/unit/core/plugin-orchestrator.test.ts",
9,verification,"run Wave 3 consolidated tests, typecheck, and diff checks",4,completed,"Passed touched-path unit tests, runtime-node and windows-host-agent workspace tests, workspace typecheck, root tsc, runtime client/shared regression tests, and diff check; diff check only emitted LF-to-CRLF warnings",".workflow/.maestro/maestro-20260607-134610-product-iteration/status.json; .workflow/.maestro/maestro-20260607-134610-product-iteration/context.md",
10,sidecar-warning-propagation-iteration,"surface runtime sidecar rejection warnings back to delegated ToolResult payloads",5,completed,"Sidecar staging/rejection warnings now append to delegated runtime results across success, recovery, and failure paths","src/runtime-client/delegation-server.ts; tests/unit/runtime-client/delegation-server.test.ts; tests/unit/runtime-client/sidecar-staging.test.ts",
11,runtime-capability-validation-iteration,"deepen runtime capability validation beyond type and handler matching",5,completed,"Runtime contract support now validates modes, requiredTools, isolation, and policy through shared matcher APIs","packages/shared/src/runtime-contract.ts; src/runtime-client/runtime-client.ts; src/runtime-client/runtime-tool-support.ts; packages/runtime-node/src/executor.ts; tests/unit/runtime-client/runtime-client.test.ts; tests/unit/runtime-node/executor.test.ts; tests/unit/tool-readiness.test.ts; tests/unit/core/plugin-system/builtin-contract.test.ts",
12,approval-token-binding-iteration,"bind approval tokens to tool sample args hash and runtime contract",5,completed,"Approval tokens are bound to tool, sample, normalized args hash, and runtime/capability context; approved=true is legacy fallback only without token","src/routing/policy-guard.ts; tests/unit/policy-guard.test.ts",
13,node-integration-verification-iteration,"bring tests/node/*.mjs into regular verification",5,completed,"Added test:node scripts, CI safe-mode node integration step, and dist import fixes for 11 safe node integrations","package.json; .github/workflows/ci.yml; tests/node/run-node-integrations.mjs; tests/node/*.integration.mjs",
14,verification,"run Wave 5 consolidated tests build node integrations typecheck and diff checks",6,completed,"Passed build:shared, Wave 5 unit suite, npm run build, test:node list/run, typecheck, root tsc, and diff check; diff check only emitted LF-to-CRLF warnings",".workflow/.maestro/maestro-20260607-134610-product-iteration/status.json; .workflow/.maestro/maestro-20260607-134610-product-iteration/tasks.csv; .workflow/.maestro/maestro-20260607-134610-product-iteration/context.md",
15,tool-surface-consolidation-plan,"map current capabilities and plan minimal profile-search tool exposure",7,completed,"Four subagents mapped capabilities, surface mechanics, profile-search data sources, and implementation path; plan converges default gateway toward workflow.search and workflow.run",".workflow/.maestro/maestro-20260607-134610-product-iteration/tool-surface-consolidation-plan.md",
16,passive-workflow-search-iteration,"implement profile-search gateway and minimize default tool exposure",8,completed,"Added passive workflow.search over tools.discover recommend/list/status; default gateway now exposes workflow.search instead of tools.discover; ToolSurfaceManager skips workflow.search expansion; hidden-tool guidance and tests prove search does not auto-expand the surface","src/tools/workflow-search.ts; src/core/tool-registry.ts; src/core/tool-registry/utility-tools.ts; src/core/mcp-registry.ts; src/core/tool-executor.ts; src/core/tool-surface-guidance.ts; src/core/tool-surface-manager.ts; tests/unit/workflow-search.test.ts; tests/unit/core/tool-executor.test.ts; tests/unit/core/tool-surface-manager.test.ts; tests/unit/mcp-tool-safety.test.ts",
17,workflow-run-gateway-iteration,"implement whitelisted execution gateway and reduce default visible surface",9,completed,"Added compact workflow.run over workflow.analyze.start/status/promote with external plan_id mapping to run_id; default gateway now exposes sample.request_upload, workflow.search, workflow.run, artifact.read; tests prove workflow.analyze.* remains hidden while workflow.run is visible","src/workflows/workflow-run.ts; src/core/tool-registry/workflow-tools.ts; src/core/tool-registry.ts; src/core/mcp-registry.ts; src/core/tool-surface-guidance.ts; src/core/tool-surface-manager.ts; tests/unit/workflow-run.test.ts; tests/unit/core/tool-surface-manager.test.ts",
18,tool-guidance-consolidation-iteration,"route sample health readiness and help guidance through workflow.search and workflow.run",10,completed,"Updated sample upload/ingest outputs, system health recommendations, and surface guidance so primary next steps point at workflow.search/workflow.run instead of hidden workflow.analyze.*; tests updated and passed","src/core/tool-surface-guidance.ts; src/tools/sample-request-upload.ts; src/tools/sample-ingest.ts; src/tools/system-health.ts; tests/unit/sample-request-upload.test.ts; tests/unit/system-health.test.ts; tests/unit/tool-readiness.test.ts; tests/unit/tool-help.test.ts",
19,upload-intake-consolidation-iteration,"move upload session creation into workflow.run and reduce default gateway to three tools",11,completed,"workflow.run action=request_upload now wraps sample.request_upload; CORE_GATEWAY_TOOLS is workflow.search, workflow.run, artifact.read; prerequisite hints and tests now point to workflow.run action=request_upload","src/workflows/workflow-run.ts; src/core/tool-registry/workflow-tools.ts; src/core/tool-registry.ts; src/core/mcp-registry.ts; src/tools/sample-ingest.ts; tests/unit/workflow-run.test.ts; tests/unit/tools-discover.test.ts; tests/unit/sample.test.ts; tests/unit/core/mcp-registry.test.ts",
20,workflow-search-rerank-iteration,"enrich workflow.search top_k scoring with extension profile and user-intent weighting",12,completed,"workflow.search now reranks tools.discover candidates before top_k using file/profile tags, query terms, goal/depth/finding aliases, workflow recipes, recommended tools, and readiness state; tests cover .exe PE ranking and bytecode-handler query ranking","src/tools/workflow-search.ts; tests/unit/workflow-search.test.ts",
21,compatibility-guidance-demotion-iteration,"demote remaining helper guidance and summaries to workflow.search/workflow.run primary surface",13,completed,"sample upload/ingest, task status, tool help/readiness, sample profile routing, and workflow.summarize now present compatibility semantics with primary recommendations kept to workflow.search, workflow.run, and artifact.read","src/core/tool-surface-guidance.ts; src/tools/sample-request-upload.ts; src/tools/sample-ingest.ts; src/tools/task-status.ts; src/tools/tool-help.ts; src/tools/sample-profile-get.ts; src/workflows/summarize.ts; tests/unit/sample-request-upload.test.ts; tests/unit/task-tools.test.ts; tests/unit/tool-help.test.ts; tests/unit/tool-readiness.test.ts; tests/unit/workflow-summarize.test.ts; tests/unit/sample-profile-get.test.ts",
22,search-activation-and-doc-closure-iteration,"route activation through workflow.search and close README/generated docs drift",14,completed,"workflow.search action=activate now wraps controlled activation; activation output avoids hidden tools.discover recommendations; primary role classification is whitelist-only; README, docs, generated catalog, and workflow descriptions now align on workflow.search, workflow.run, and artifact.read","src/tools/workflow-search.ts; src/workflows/workflow-run.ts; src/core/tool-surface-guidance.ts; src/tools/tools-discover.ts; src/tools/tool-readiness.ts; src/tools/system-health.ts; src/workflows/analyze-pipeline.ts; src/workflows/analyze-auto.ts; src/workflows/triage.ts; src/workflows/deep-static.ts; src/workflows/reconstruct.ts; README.md; README_zh.md; docs/usage.html; docs/index.html; docs/examples.html; docs/ARCHITECTURE.md; docs/PLUGINS.md; docs/tool-catalog.html; scripts/generate-tool-catalog-doc.mjs; tests/unit/workflow-search.test.ts; tests/unit/workflow-run.test.ts; tests/unit/tool-help.test.ts; tests/unit/system-health.test.ts",
