id,title,wave,depends_on,scope,status
TASK-001,Define the non-breaking plugin standard v2,1,,docs and SDK contract tests,completed
TASK-002,Create plugin standard audit and inventory gate,1,TASK-001,audit tooling and tests,completed
TASK-003,Stabilize SDK shared runtime contract and scaffolding,2,TASK-001;TASK-002,SDK implementation,completed
TASK-004,Wire standard metadata into orchestrator and progressive surface,2,TASK-001;TASK-002;TASK-003,core plugin runtime,completed
TASK-005,Update discovery help readiness and plugin list surfaces,2,TASK-001;TASK-002;TASK-003,MCP user-facing metadata tools,completed
TASK-006,Migrate core static analysis plugins to the standard,3,TASK-003;TASK-004;TASK-005,core static plugins,completed
TASK-007,Migrate format package container bytecode and adapter plugins,3,TASK-003;TASK-004;TASK-005,format and adapter plugins,completed
TASK-008,Migrate dynamic and runtime-backed plugins with passive defaults,4,TASK-003;TASK-004;TASK-005,dynamic and runtime plugins,completed
TASK-009,Migrate new platform matrix plugins and fixtures,4,TASK-003;TASK-004;TASK-005,new WIP plugin matrix,completed
TASK-010,Finalize release guard docs and strict-mode readiness,5,TASK-006;TASK-007;TASK-008;TASK-009,final verification and docs,completed
