id,title,wave,depends_on,scope,status
TASK-001,Define cross-plugin evidence workflow backplane,1,,shared evidence workflow and routing contracts,completed
TASK-002,Audit current advanced plugin gaps and execution safety,1,TASK-001,plugin audit baseline and risk map,completed
TASK-003,Build offline memory forensics correlation chain,2,TASK-001;TASK-002,memory-forensics behavior threat-intel reporting,pending
TASK-004,Modernize VM analysis and symbolic workflow,2,TASK-001;TASK-002,vm-analysis symbolic constraints,pending
TASK-005,Promote KB collaboration into analysis memory layer,2,TASK-001;TASK-002,kb-collaboration rule and sample knowledge,pending
TASK-006,Deepen runtime readiness and opt-in session templates,2,TASK-001;TASK-002,runtime plan and dynamic control plane,pending
TASK-007,Create supply-chain SBOM provenance graph,3,TASK-001;TASK-002,SBOM package container installer firmware,pending
TASK-008,Expand Android static behavior graph,3,TASK-001;TASK-002,android apk smali dex native correlation,pending
TASK-009,Expand Apple macOS iOS signing and runtime chain,3,TASK-001;TASK-002,apple container signing runtime planning,pending
TASK-010,Upgrade WASM WASI capability analysis,3,TASK-001;TASK-002,WASM inventory imports capability risk,pending
TASK-011,Add firmware IoT extraction SBOM and emulation bridge,3,TASK-001;TASK-002,firmware filesystem SBOM qiling handoff,pending
TASK-012,Strengthen Office document and macro analysis,4,TASK-001;TASK-002,office OLE VBA macro IOC,pending
TASK-013,Close unpacking and deobfuscation workflow loop,4,TASK-001;TASK-002,unpacking deep-unpack runtime-deobfuscate,pending
TASK-014,Add sample similarity clustering and binary diff intelligence,4,TASK-001;TASK-002,similarity binary-diff family clustering,pending
TASK-015,Build malware config threat intel YARA feedback loop,4,TASK-001;TASK-002,malware threat-intel yara vuln scanner,pending
TASK-016,Finalize capability iteration release guard,5,TASK-003;TASK-004;TASK-005;TASK-006;TASK-007;TASK-008;TASK-009;TASK-010;TASK-011;TASK-012;TASK-013;TASK-014;TASK-015,docs matrix tests workflow recipes,pending
