"id","title","wave","depends_on","scope","status"
"TASK-065","Add ranked tools.discover recommendations","1","","tools.discover scoring activation_plan readiness_state why_hidden","completed"
"TASK-066","Complete plugin aspects for sample-type routing","1","","missing plugin-level aspects static dynamic reverse runtime coverage","completed"
"TASK-067","Expose backend install and profile recommendation portal","1","TASK-065","Docker backend profiles install routes readiness explanation","completed"
"TASK-068","Promote high-value plan plugins to real Worker backends","2","TASK-067","radare2 wabt lief miasm triton backend-worker.v1 adapters","completed"
"TASK-069","Build JavaScript and JSVMP analysis suite pipeline","2","TASK-065;TASK-067","jsir cascade restringer jsvmp artifacts static no-eval pipeline","completed"
"TASK-070","Add cross-decompiler IR consensus workflow","3","TASK-065;TASK-068","Ghidra RetDec Rizin radare2 Angr revng Remill GTIRB evidence graph","completed"
"TASK-071","Add BYO external RE MCP bridge plugins","3","TASK-067;TASK-070","Ghidra MCP IDA MCP Binary Ninja MCP radare2 MCP sidecar sync","completed"
"TASK-072","Create reverse-engineering benchmark guard suite","4","TASK-065;TASK-070","Decompile-Bench CrackMeBench golden corpus quality metrics","completed"
"TASK-073","Harden MCP tool activation and backend safety","4","TASK-065;TASK-067","schema fuzz path allowlist activation audit backend sandbox safety","completed"
"TASK-074","Finalize discovery/backend iteration release guard","5","TASK-066;TASK-068;TASK-069;TASK-070;TASK-071;TASK-072;TASK-073","docs catalog tests typecheck lint docker dry-run","completed"
