"id","status","summary","files","verification","error"
"TASK-065","completed","Implemented ranked tools.discover recommendations with score, match reasons, readiness, activation plan, activation command, and hidden-tool explanations.","src/tools/tools-discover.ts;tests/unit/tools-discover.test.ts","npm test -- tests/unit/tools-discover.test.ts --runInBand; npx tsc --noEmit -p tsconfig.json",""
"TASK-066","completed","Completed plugin-level aspects for all 93 built-in plugins after the external RE bridge was added; plugin matrix and plugin list guards pass.","src/plugins/*/index.ts;src/plugins/external-re-bridge/index.ts","npm test -- --runTestsByPath tests/unit/plugin-format-matrix.test.ts tests/unit/plugin-list.test.ts",""
"TASK-067","completed","Added reusable backend install profile metadata and exposed backend readiness/profile guidance through tools.discover recommendations.","src/core/backend-install-profile.ts;src/tools/tools-discover.ts;tests/unit/tools-discover.test.ts","npm test -- tests/unit/tools-discover.test.ts --runInBand; npx tsc --noEmit -p tsconfig.json",""
"TASK-068","completed","Added bounded backend-worker.v1 tools for radare2, WABT, LIEF, Miasm, and Triton with fixture-safe builtin mode, external readiness metadata, artifacts, evidence, and workflow recipes.","src/plugins/radare2/index.ts;src/plugins/wabt/index.ts;src/plugins/lief/index.ts;src/plugins/miasm/index.ts;src/plugins/triton/index.ts;tests/unit/frontier-worker-plugins.test.ts","npm test -- --runTestsByPath tests/unit/frontier-worker-plugins.test.ts tests/unit/backend-worker-contract.test.ts tests/unit/tool-readiness.test.ts tests/unit/plugin-format-matrix.test.ts; npm run typecheck; npm run lint",""
"TASK-069","completed","Expanded the JavaScript/JSVMP static suite pipeline from javascript.obfuscation.profile into REstringer, JSIMPLIFIER, JSIR/CASCADE, and JSVMP follow-up recommendations without eval/runtime execution.","src/plugins/javascript-deobfuscation/tools/javascript-obfuscation-profile.ts;tests/unit/javascript-obfuscation-profile.test.ts","npm test -- --runTestsByPath tests/unit/javascript-obfuscation-profile.test.ts tests/unit/frontier-worker-plugins.test.ts tests/unit/backend-plan-plugins.test.ts tests/unit/plugin-format-matrix.test.ts; npm test -- tests/unit/tools-discover.test.ts --runInBand; npm run typecheck",""
"TASK-070","completed","Added code.cross_decompiler.consensus for passive fixture-safe comparison of decompiler/IR artifact summaries with agreement, disagreement, missing backend gaps, follow-up recommendations, and evidence graph output.","src/plugins/code-analysis/tools/cross-decompiler-consensus.ts;src/plugins/code-analysis/index.ts;tests/unit/cross-decompiler-consensus.test.ts;tests/unit/plugin-format-matrix.test.ts","npm test -- --runTestsByPath tests/unit/cross-decompiler-consensus.test.ts tests/unit/plugin-format-matrix.test.ts; npm test -- tests/unit/tools-discover.test.ts --runInBand; npm run typecheck",""
"TASK-071","completed","Added external-re-bridge as a read-only BYO/sidecar bridge contract for IDA, Binary Ninja, Ghidra, and radare2 artifact sync into cross-decompiler consensus bundles.","src/plugins/external-re-bridge/index.ts;tests/unit/external-re-bridge.test.ts","npm test -- --runTestsByPath tests/unit/external-re-bridge.test.ts tests/unit/tool-readiness.test.ts tests/unit/plugin-format-matrix.test.ts; npm run typecheck; npm run lint",""
"TASK-072","completed","Added CI-safe reverse-engineering benchmark manifest, evaluator helper, focused tests for tools.discover recommendations, residual gap reporting, and example corpus metadata.","src/benchmarks/reverse-benchmark.ts;tests/fixtures/reverse-benchmark.manifest.json;tests/unit/reverse-benchmark-suite.test.ts;docs/examples/benchmark-corpus.example.json","npm test -- --runTestsByPath tests/unit/reverse-benchmark-suite.test.ts tests/unit/tools-discover.test.ts; npm run typecheck; npx tsc --noEmit -p tsconfig.json",""
"TASK-073","completed","Hardened MCP activation and backend execution boundaries with hidden tool direct-call blocking tests, activation_audit metadata, maxInputBytes, artifact allowedRoots, shell command rejection, diagnostic redaction, and local-only sidecar endpoint guards.","src/worker/backend-worker-client.ts;src/tools/tools-discover.ts;tests/unit/backend-worker-contract.test.ts;tests/unit/tools-discover.test.ts;tests/unit/mcp-tool-safety.test.ts;tests/fixtures/workers/fixture-worker.mjs","npm test -- --runTestsByPath tests/unit/mcp-tool-safety.test.ts tests/unit/core/tool-executor.test.ts tests/unit/backend-worker-contract.test.ts tests/unit/tools-discover.test.ts; npm run lint; npm run typecheck",""
"TASK-074","completed","Refreshed docs and generated catalog for 93 plugins and 281 plugin tools, documented discovery recommendation fields/backend profiles/safety policy, and ran the release guard suite including Docker dry-runs.","docs/PLUGINS.md;docs/tool-catalog.html;scripts/generate-tool-catalog-doc.mjs;.workflow/scratch/20260525-tool-discovery-backend-iteration/results.csv;.workflow/scratch/20260525-tool-discovery-backend-iteration/context.md","npm run docs:tool-catalog; npm test -- tests/unit/tools-discover.test.ts tests/unit/core/tool-surface-manager.test.ts tests/unit/core/tool-executor.test.ts --runInBand; npm test -- --runTestsByPath tests/unit/plugin-format-matrix.test.ts tests/unit/tool-readiness.test.ts tests/unit/backend-install-contract.test.ts tests/unit/docker-generator-backends.test.ts; npm run lint; npm run typecheck; npx tsc --noEmit -p tsconfig.json; node scripts/generate-docker.mjs --profile=static --backend-profile=default --dry-run; node scripts/generate-docker.mjs --profile=static --backend-profile=all --dry-run",""
