id,title,wave,status,findings,files_modified,tests_passed,error
TASK-001,Define the non-breaking plugin standard v2,1,completed,"Plugin Standard v2 documented as warning-first and non-breaking; SDK contract tests assert quality warning codes and compatibility behavior.","docs/PLUGINS.md;packages/plugin-sdk/README.md;tests/unit/plugin-contracts.test.ts;tests/unit/packages/plugin-sdk.test.ts","npm test -- --runTestsByPath tests/unit/packages/plugin-sdk.test.ts tests/unit/plugin-contracts.test.ts passed",""
TASK-002,Create plugin standard audit and inventory gate,1,completed,"SDK exposes auditPluginQuality; plugin contract and format matrix tests consume stable warning metadata without live runtime execution.","packages/plugin-sdk/src/index.ts;src/tools/tool-aspect-matrix.ts;tests/unit/plugin-contracts.test.ts;tests/unit/plugin-format-matrix.test.ts","plugin contract, plugin SDK, and plugin format matrix tests passed",""
TASK-003,Stabilize SDK shared runtime contract and scaffolding,2,completed,"SDK authoring APIs, shared runtime contract exports, compatibility re-export, and create-plugin scaffold were aligned to standard metadata.","packages/plugin-sdk/src/index.ts;packages/plugin-sdk/package.json;packages/shared/src/runtime-contract.ts;src/plugins/sdk.ts;scripts/create-plugin.js;tests/unit/create-plugin-script.test.ts","SDK and create-plugin tests passed; npm run typecheck passed",""
TASK-004,Wire standard metadata into orchestrator and progressive surface,2,completed,"Plugin orchestrator delegates quality warning generation to SDK audit; tool surface/runtime policy metadata remains visible without startup failure.","src/core/plugin-orchestrator.ts;src/core/tool-surface-manager.ts;src/runtime-client/dynamic-tool-policy.ts;tests/unit/core/plugin-orchestrator.test.ts","plugin orchestrator, tools.discover, and typecheck verification passed",""
TASK-005,Update discovery help readiness and plugin list surfaces,2,completed,"tools.discover, tool.help, tool.readiness, plugin.list, and sample profile output now surface standard metadata, readiness, warnings, artifacts, and runtime policy context.","src/tools/tools-discover.ts;src/tools/tool-help.ts;src/tools/tool-readiness.ts;src/tools/plugin-list.ts;src/tools/sample-profile-get.ts","tools-discover, tool-help, tool-readiness, plugin-list, and sample-profile-get tests passed",""
TASK-006,Migrate core static analysis plugins to the standard,3,completed,"Core static analysis plugins were normalized with aspects, surface rules, output schemas, artifacts/evidence metadata, and preserved tool behavior.","src/plugins/pe-analysis;src/plugins/strings;src/plugins/yara;src/plugins/yara-x;src/plugins/die;src/plugins/metadata;src/plugins/pe-signature;src/plugins/sbom;src/plugins/vuln-scanner;src/plugins/threat-intel;src/plugins/reporting;src/plugins/visualization","plugin contracts/matrix and static representative tests passed",""
TASK-007,Migrate format package container bytecode and adapter plugins,3,completed,"Format, package, container, bytecode, disassembly/decompile, PCAP, firmware, and memory-forensics plugin metadata was aligned with the standard.","src/plugins/android;src/plugins/apk-smali;src/plugins/elf-macho;src/plugins/firmware;src/plugins/capstone;src/plugins/ghidra;src/plugins/rizin;src/plugins/retdec;src/plugins/dotnet-decompile;src/plugins/pcap-analysis;src/plugins/memory-forensics","plugin-format-matrix, tool-readiness, APK, ELF, firmware, and capstone tests passed",""
TASK-008,Migrate dynamic and runtime-backed plugins with passive defaults,4,completed,"Dynamic/runtime-backed plugins now expose passive/readiness-first metadata and policy/runtime gating without live runtime execution from discovery flows.","src/plugins/dynamic;src/plugins/debug-session;src/plugins/frida;src/plugins/qiling;src/plugins/speakeasy;src/plugins/wine;src/plugins/behavior-first;src/plugins/host-correlation","runtime config/status, debug session, qiling, behavior-first, and readiness tests passed",""
TASK-009,Migrate new platform matrix plugins and fixtures,4,completed,"New platform/format plugin directories and safe fixtures were incorporated into the standard matrix with focused unit coverage.","src/plugins/android-package;src/plugins/android-runtime;src/plugins/apple-container;src/plugins/apple-signing;src/plugins/bytecode;src/plugins/container-analysis;src/plugins/dotnet-managed;src/plugins/ios-runtime;src/plugins/jvm;src/plugins/linux-binary;src/plugins/linux-package;src/plugins/linux-runtime;src/plugins/macos-runtime;src/plugins/native-object;src/plugins/unity-managed;src/plugins/wasm;src/plugins/wasm-runtime;src/plugins/windows-debug-symbols;src/plugins/windows-installer;src/plugins/windows-runtime;tests/fixtures/plugins","new platform/runtime matrix tests passed",""
TASK-010,Finalize release guard docs and strict-mode readiness,5,completed,"Release guard closed with docs, changelog, full standard gate commands, typecheck, and lint. Remaining quality findings are warning-first/deferred, not blockers.","CHANGELOG.md;docs/PLUGINS.md;packages/plugin-sdk/README.md;tests/unit/plugin-contracts.test.ts;tests/unit/plugin-format-matrix.test.ts;tests/unit/tool-help.test.ts;tests/unit/tool-readiness.test.ts;tests/unit/tools-discover.test.ts;tests/unit/plugin-list.test.ts","npm run lint passed; npm run typecheck passed; global acceptance test set passed",""
