id,title,wave,depends_on,scope,status
TASK-017,Add JavaScript JSVMP passive deobfuscation profile,1,,javascript-deobfuscation jsir cascade restringer jsvmp,completed
TASK-018,Add rev.ng lift and decompile backend plan plugin,2,TASK-017,revng cross-backend decompile lifting plan,completed
TASK-019,Add Triton symbolic recovery plan plugin,2,TASK-017,triton symbolic taint constraint plan,completed
TASK-020,Add Miasm IR data-flow deobfuscation plan plugin,2,TASK-017,miasm ir data-flow symbolic plan,completed
TASK-021,Finalize advanced plugin expansion release guard,3,TASK-017;TASK-018;TASK-019;TASK-020,docs tests plugin matrix changelog,completed
TASK-022,Add JSVMP bytecode and handler-map recovery plan plugin,3,TASK-017,jsvmp bytecode dispatcher handler-map semantics plan,completed
TASK-023,Add LIEF binary structure and transformation plan plugin,3,TASK-018,lief binary format abstraction signature relocation patch plan,completed
TASK-024,Add radare2 cross-backend compatibility plan plugin,3,TASK-018,radare2 r2pipe cross-backend function xref comparison plan,completed
TASK-025,Add WABT WebAssembly toolchain plan plugin,3,TASK-017,wabt wasm wat wasm2c wasi toolchain plan,completed
TASK-026,Finalize expanded advanced plugin release guard,4,TASK-022;TASK-023;TASK-024;TASK-025,docs tests plugin matrix changelog maestro,completed
