"id","title","wave","depends_on","scope","status"
"TASK-051","Define Docker backend packaging contract v1","1","","plugin SDK docker generator install route validation","completed"
"TASK-052","Add backend install profiles and generator reports","1","TASK-051","docker profile gating dry-run matrix compose build args","completed"
"TASK-053","Implement external backend Worker execution bridge","1","TASK-051","backend-worker.v1 external JSON protocol timeout output limits","completed"
"TASK-054","Install JavaScript deobfuscation backends","2","TASK-051;TASK-052;TASK-053","restringer jsir cascade jsvmp node wrappers docker fragments","completed"
"TASK-055","Build installable JSIMPLIFIER backend suite","2","TASK-051;TASK-052;TASK-053","own static pipeline backend wrapper docker packaging","completed"
"TASK-056","Install WABT and radare2 CLI backends","2","TASK-051;TASK-052","wabt radare2 apt static release docker validation","completed"
"TASK-057","Install Python analysis backend venvs","2","TASK-051;TASK-052","miasm lief triton gtirb python venvs","completed"
"TASK-058","Package GTIRB ddisasm behind license gate","3","TASK-051;TASK-052;TASK-053;TASK-057","gtirb ddisasm ir generation AGPL opt-in","completed"
"TASK-059","Package Remill bounded lift backend","3","TASK-051;TASK-052;TASK-053","remill llvm lift wrapper heavy profile","completed"
"TASK-060","Build Manifold fact extraction backend","3","TASK-051;TASK-053;TASK-056;TASK-057","own fact extractor rizin lief gtirb integration","completed"
"TASK-061","Add rev.ng sidecar or BYO backend profile","3","TASK-051;TASK-052;TASK-053","revng GPL sidecar compose endpoint readiness","completed"
"TASK-062","Package QBDI delegated runtime backend","4","TASK-051;TASK-052;TASK-053","qbdi runtime opt-in instrumentation isolation","completed"
"TASK-063","Package CuLifter GPU backend profile","4","TASK-051;TASK-052;TASK-053","culifter gpu optional worker driver-safe readiness","completed"
"TASK-064","Finalize backend auto-install release guard","5","TASK-054;TASK-055;TASK-056;TASK-057;TASK-058;TASK-059;TASK-060;TASK-061;TASK-062;TASK-063","tests docs docker dry-run smoke matrix","completed"
