id,title,wave,depends_on,scope,status
TASK-039,Define bounded backend worker contract v1,1,,SDK worker contract schemas adapter lifecycle policy metadata,completed
TASK-040,Expose worker readiness without backend startup,1,TASK-039,tool.readiness tools.discover plugin.list systemDeps backend availability,completed
TASK-041,Add shared external backend worker client and fixtures,1,TASK-039,src worker static backend client timeout malformed output fixture harness,completed
TASK-042,Implement REstringer static JavaScript worker,2,TASK-039;TASK-040;TASK-041,restringer bounded AST-only deobfuscation run tool,completed
TASK-043,Implement JSIMPLIFIER static pipeline worker,2,TASK-039;TASK-040;TASK-041;TASK-042,jsimplifier static pass orchestration profile integration,completed
TASK-044,Implement JSIR/CASCADE normalization worker,2,TASK-039;TASK-040;TASK-041;TASK-043,jsir cascade IR normalization artifact worker,completed
TASK-045,Implement GTIRB read-only IR generation worker,3,TASK-039;TASK-040;TASK-041,gtirb ddisasm read-only binary IR artifact,completed
TASK-046,Implement Remill bounded lift worker,3,TASK-039;TASK-040;TASK-041;TASK-045,remill function-range LLVM bitcode lift artifact,completed
TASK-047,Implement Manifold fact extraction worker,3,TASK-039;TASK-041;TASK-045,manifold declarative fact schema cross-backend comparison,completed
TASK-048,Implement QBDI opt-in delegated runtime worker,4,TASK-039;TASK-040;TASK-041,qbdi DBI trace worker explicit opt-in isolation runtime contract,completed
TASK-049,Implement CuLifter GPU artifact worker,4,TASK-039;TASK-040;TASK-041,culifter CUDA SASS PTX artifact inventory optional lift,completed
TASK-050,Finalize worker suite release guard and docs,5,TASK-042;TASK-043;TASK-044;TASK-046;TASK-047;TASK-048;TASK-049,docs changelog plugin matrix worker tests maestro verification,completed
