id,title,plugin,tool,status,notes
TASK-081,Strengthen api-hash resolver planning evidence handoff,api-hash,hash.resolver.plan,completed,"Added resolver evidence summary, workflow handoff, quality gates, workflow recipe metadata, evidence graph ingestion, tests, docs, and regenerated catalog."
TASK-082,Strengthen static behavior classification evidence handoff,static-triage,static.behavior.classify,completed,"Added behavior evidence summary, runtime-validation workflow handoff, passive quality gates, workflow recipe metadata, evidence graph ingestion, tests, docs, and regenerated catalog."
TASK-083,Strengthen crypto identification runtime tracing handoff,static-triage,crypto.identify,completed,"Added crypto evidence summary, runtime-tracing workflow handoff, passive quality gates, workflow recipe metadata, evidence graph ingestion, tests, docs, and regenerated catalog."
TASK-084,Strengthen static config carving evidence correlation handoff,static-triage,static.config.carver,completed,"Added config evidence summary, evidence-correlation workflow handoff, passive quality gates, workflow recipe metadata, evidence graph ingestion, tests, docs, and regenerated catalog."
TASK-085,Strengthen static resource graph payload correlation handoff,static-triage,static.resource.graph,completed,"Added resource evidence summary, payload-correlation workflow handoff, passive quality gates, workflow recipe metadata, evidence graph ingestion, tests, docs, and regenerated catalog."
TASK-086,Strengthen compiler packer attribution handoff,static-triage,compiler.packer.detect,completed,"Added compiler/packer evidence summary, attribution workflow handoff, passive quality gates, workflow recipe metadata, evidence graph ingestion, tests, docs, and regenerated catalog."
TASK-087,Strengthen FLOSS decoded string evidence handoff,strings,strings.floss.decode,completed,"Added decoded string evidence summary, workflow handoff, passive quality gates, workflow recipe metadata, evidence graph ingestion, tests, docs, and regenerated catalog."
TASK-088,Strengthen raw string extraction evidence handoff,strings,strings.extract,completed,"Added raw string evidence summary, workflow handoff, passive quality gates, workflow recipe metadata, tests, docs, and regenerated catalog."
TASK-089,Strengthen YARA rule generation validation handoff,yara,yara.generate,completed,"Added YARA rule generation evidence summary, validation/reporting workflow handoff, passive quality gates, workflow recipe metadata, evidence graph ingestion, tests, docs, and regenerated catalog."
TASK-090,Strengthen YARA family batch rule generation handoff,yara,yara.generate.batch,completed,"Added family rule evidence summary, workflow handoff, passive quality gates, workflow recipe metadata, evidence graph ingestion, tests, docs, and regenerated catalog."
TASK-091,Strengthen IOC export evidence handoff,threat-intel,ioc.export,completed,"Added IOC export evidence summary, workflow handoff, passive quality gates, workflow recipe metadata, JSON/CSV/STIX evidence graph ingestion, tests, docs, and regenerated catalog."
TASK-092,Strengthen Sigma rule generation validation handoff,threat-intel,sigma.rule.generate,completed,"Added Sigma rule generation evidence summary, validation/reporting workflow handoff, passive quality gates, workflow recipe metadata, sigma_rules evidence graph ingestion, tests, docs, and regenerated catalog."
TASK-093,Strengthen YARA-X scan validation handoff,yara-x,yara_x.scan,completed,"Added YARA-X scan evidence summary, validation/reporting workflow handoff, passive quality gates, workflow recipe metadata, backend_yara_x_scan evidence graph ingestion, tests, docs, and regenerated catalog."
TASK-094,Strengthen UPX inspection validation handoff,upx,upx.inspect,completed,"Added UPX inspection evidence summary, unpack/static-triage workflow handoff, passive quality gates, workflow recipe metadata, backend_upx_list/backend_upx_test evidence graph ingestion, tests, docs, and regenerated catalog."
TASK-095,Strengthen DIE scan validation handoff,die,die.scan,completed,"Added DIE scan evidence summary, packer/toolchain/crypto workflow handoff, passive quality gates, workflow recipe metadata, backend_die_scan evidence graph ingestion, tests, docs, and regenerated catalog."
